record_id,pub_apa,pub_year,pop_country
544,"Ponsford et al., 2012",2012,Australia
339,"Ponsford, Cameron, Fitzgerald, Grant, & Mikocka-Walus, 2011",2011,Australia
354,"Rabinowitz & Arnett, 2012",2012,USA
461,"Rabinowitz et al., 2015",2015,USA
261,"Ravdin, Barr, Jordan, Lathan, & Relkin, 2003",2003,USA
463,"Resch et al., 2015",2015,USA
379,"Resch, Brown, et al., 2013",2013,USA
381,"Resch, Driscoll, et al., 2013",2013,Multiple countries
380,"Resch, Macciocchi, & Ferrara, 2013",2013,USA
340,"Resch, May, Tomporowski, & Ferrara, 2011",2011,USA
383,"Riegler, Neils-Strunjas, Boyce, Wade, & Scheifele, 2013",2013,USA
1226,"Ruffolo, Friedland, Dawson, Colantonio, & Lindsay, 1999",1999,Canada
262,"Ruttan & Heinrichs, 2003",2003,Canada
561,"Schatz & Maerlender, 2013",2013,USA
562,"Schatz & Sandel, 2013",2013,USA
536,"Schatz, Moser, Solomon, Ott, & Karpf, 2012",2012,USA
529,"Scherwath et al., 2011",2011,Germany
1009,"Schroeder, Ruff, & Jäncke, 2015",2015,USA
282,"Sheedy, Geffen, Donnelly, & Faux, 2006",2006,Australia
1227,"Sheedy, Harvey, Faux, Geffen, & Shores, 2009",2009,Australia
303,"Shuttleworth-Edwards & Radloff, 2008",2008,South Africa
304,"Shuttleworth-Edwards, Smith, & Radloff, 2008",2008,South Africa
319,"Shuttleworth-Edwards, Whitefield-Alexander, Radloff, Taylor, & Lovell, 2009",2009,Multiple countries
965,"Silverberg, Berkner, Atkins, Zafonte, & Iverson, 2016",2016,USA
428,"Silverberg, Luoto, Öhman, & Iverson, 2014",2014,Finland
386,"Siman et al., 2013",2013,USA
467,"Stokum et al., 2015",2015,USA
468,"Storzbach et al., 2015",2015,USA
1129,"Studer et al., 2015",2015,Switzerland
545,"Swick, Honzel, Larsen, Ashley, & Justus, 2012",2012,USA
1230,"Tay, Ang, Lau, Meyyappan, & Collinson, 2010",2010,Singapore
472,"Terry, Adams, Ferrara, & Miller, 2015",2015,USA
564,"Theadom et al., 2013",2013,New Zealand
307,"Thornton, Cox, Whitfield, & Fouladi, 2008",2008,Canada
285,"Tombaugh, Stormer, Rees, Irving, & Francis, 2006",2006,Unknown or Unreported
595,"Troyanskaya et al., 2015",2015,USA
331,"Tsirka et al., 2010",2010,Greece
528,"Tsirka et al., 2011",2011,Greece
440,"Tsushima & Siu, 2014",2014,USA
485,"Tsushima, Geling, & Arnold, 2016",2016,USA
1131,"Tsushima, Siu, Pearce, Guangxiang Zhang, & Oshiro, 2016",2016,USA
474,"Van Beek, Ghesquière, Lagae, & De Smedt, 2015",2015,Belgium
475,"Vassilyadi, Macartney, Barrowman, Anderson, & Dube, 2015",2015,Canada
915,"Veeramuthu et al., 2014",2014,Malaysia
299,"Vilar-López et al., 2007",2007,Spain
584,"Waid-Ebbs et al., 2014",2014,USA
288,"Wall et al., 2006",2006,USA
476,"Whiteside et al., 2015",2015,USA
580,"Wilson, Harkrider, & King, 2014",2014,USA
488,"Winkler et al., 2016",2016,USA
332,"Wong, Murdoch, & Whelan, 2010",2010,Australia
396,"Yallampalli et al., 2013",2013,USA
478,"Yengo-Kahn & Solomon, 2015",2015,USA
365,"Zuckerman, Lee, et al., 2012",2012,USA
399,"Zuckerman, Lee, Odom, Solomon, & Sills, 2013",2013,USA
366,"Zuckerman, Solomon, et al., 2012",2012,USA
